ID,output
3380.HK,2.6193063925036326
0662.HK,1.6977182019673243
2540.HK,3.175759239569837
2611.HK,5.819798649838949
2443.HK,0.09990009990009992
2139.HK,3.523348709669659
6110.HK,4.872543816500489
2386.HK,22.18613935809942
9877.HK,4.557951552275602
2105.HK,4.7941942686239285
1773.HK,6.61823705575135
0120.HK,3.1415302217349534
9955.HK,8.486771340770296
1024.HK,7.665740411612151
0797.HK,3.165252672168766
1109.HK,4.418596405841177
3698.HK,0.8766010255542338
1952.HK,6.6290926881808545
1992.HK,2.1248537745715383
6979.HK,3.526664114865752
